

*************************************************************************************** 


AST: 

NodeSymbol			Lexeme			Line No			Node Token			ValueIfNumber			Parent			isleaf
var_id_num 			 ---- 			 52 			 ID 			 ---- 			 MUL 			 No
ID 			 m 			 52 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 52 			 ID 			 ---- 			 MINUS 			 No
ID 			 n 			 52 			 ID 			 ---- 			 var_id_num 			 Yes
moduleReuseStmt 			 ---- 			 53 			 USE 			 ---- 			 statements 			 No
ID 			 switch_int_default 			 53 			 ID 			 ---- 			 moduleReuseStmt 			 Yes
idList 			 ---- 			 53 			 USE 			 ---- 			 moduleReuseStmt 			 No
ID 			 n 			 53 			 ID 			 ---- 			 idList 			 Yes
conditionalStmt 			 ---- 			 54 			 SWITCH 			 ---- 			 statements 			 No
---- 			 SWITCH 			 54 			 SWITCH 			 ---- 			 conditionalStmt 			 Yes
ID 			 p 			 54 			 ID 			 ---- 			 conditionalStmt 			 Yes
caseStmts 			 ---- 			 54 			 SWITCH 			 ---- 			 conditionalStmt 			 No
---- 			 CASE 			 56 			 CASE 			 ---- 			 caseStmts 			 Yes
value 			 ---- 			 56 			 CASE 			 ---- 			 caseStmts 			 No
---- 			 NUM 			 56 			 NUM 			 1 			 value 			 Yes
statements 			 ---- 			 56 			 CASE 			 ---- 			 caseStmts 			 No
assignmentStmt 			 ---- 			 56 			 ID 			 ---- 			 statements 			 No
ID 			 p 			 56 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 56 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 56 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 PLUS 			 56 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 56 			 ID 			 ---- 			 PLUS 			 No
ID 			 p 			 56 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 56 			 NUM 			 1 			 PLUS 			 No
---- 			 NUM 			 56 			 NUM 			 1 			 var_id_num 			 Yes
---- 			 BREAK 			 56 			 CASE 			 ---- 			 caseStmts 			 Yes
default 			 ---- 			 54 			 SWITCH 			 ---- 			 conditionalStmt 			 No
statements 			 ---- 			 58 			 DEFAULT 			 ---- 			 default 			 No
assignmentStmt 			 ---- 			 58 			 ID 			 ---- 			 statements 			 No
